clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Immune cells,Cd209f,0.03168786984217646,2.0191958,0.9997033561979022
Immune cells,Mrc1,0.046442605885294655,2.1071973,0.9995022444497972
Immune cells,Cbr2,0.04353571165220217,1.8804331,0.99942185765221
Immune cells,Pf4,0.08115912076281644,4.153616,0.9994171119871593
Immune cells,Clec4a1,0.008013736007206817,0.6390943,0.9992555720465524
Immune cells,Ms4a7,0.06062903309672626,2.508463,0.9991254125322614
Immune cells,Cybb,0.009287619557981592,0.65448135,0.9990047982760838
Immune cells,Wfdc17,0.0038720318704822923,0.46900403,0.9990011283329555
Immune cells,Cd163,0.01005104097185857,0.8198109,0.9989328043801444
Immune cells,Ccl24,0.03870670713422373,2.1617796,0.998649653934297
Immune cells,F13a1,0.044594325777744706,2.173844,0.9983236165273757
Immune cells,Ifi202b,0.0037453191292524776,0.461209,0.9977686802546183
Immune cells,Clec10a,0.02344316447297229,1.4409245,0.9976608866737002
Immune cells,Mgl2,0.004620019626949477,0.6077249,0.9971131937844413
Immune cells,Ccl7,0.008078051423646301,0.8644964,0.9967602860359919
Immune cells,Lyve1,0.014240821717350406,0.91011244,0.9967371821403503
Immune cells,Ms4a6c,0.024474711516172816,1.6350224,0.9967117962383089
Immune cells,Lyz2,0.07343937275413809,4.105974,0.995486319065094
Immune cells,Folr2,0.014670769792076254,1.1632972,0.9954595679328555
Immune cells,Fcgr2b,0.012168718812709178,1.0550605,0.9948925943601699
Immune cells,Tslp,0.012059905529350814,1.1285924,0.9940465348107475
Immune cells,C5ar1,0.00782250013763584,0.87814677,0.9929962413651603
Immune cells,Ms4a6b,0.009456695344993181,1.0463498,0.9911142814727056
Immune cells,Stab1,0.025881802647252664,2.0296373,0.9884470644451323
Immune cells,Gmfg,0.006187473347337158,1.0614455,0.9871545888128734
Immune cells,Ccl12,0.0051495080818053755,1.5209681,0.9861958168801808
Immune cells,Smagp,0.0051332998608604715,1.4050571,0.9757070484615508
Immune cells,Ptpn18,0.007989248297058518,1.8844423,0.9699295106388274
Immune cells,Cfp,0.003964747424180969,0.9038071,0.966665350255512
Immune cells,Hpgd,0.0038124319926793773,1.3831266,0.9614297265098208
Immune cells,Dab2,0.032030967708726404,2.6811895,0.9606484855924334
Immune cells,Fcer1g,0.014306564012712932,3.6113696,0.9592406636192685
Immune cells,Fcgr3,0.004450083645757013,2.1928291,0.9551680996304467
Immune cells,Tyrobp,0.007934546946525654,3.526219,0.9515803626605442
Immune cells,Lgals1,0.011740305374589192,2.5282884,0.9500110262916202
Immune cells,Ctsc,0.0070853467691975765,2.2933989,0.949638965583983
Immune cells,C1qc,0.009202697735641937,3.8401566,0.9495081191971189
Immune cells,Ltc4s,0.003791067665210796,1.953507,0.9479717356818063
Immune cells,C1qb,0.007699417510339668,3.6660898,0.9478958987054371
Immune cells,C1qa,0.007438918911677077,3.858367,0.9465901936803546
Immune cells,Ctss,0.008134243417334024,1.9801675,0.9414320502962384
Immune cells,Blvrb,0.006676313678853141,1.9036288,0.9337665239969889
Immune cells,Cyba,0.004303324748723973,2.848129,0.9285436471303304
Immune cells,P2ry12,0.00964065573817355,0.33747062,0.8954802382560003
Immune cells,Ifitm2,0.004744677061568623,1.5471662,0.8881803523926508
Immune cells,Selplg,0.0072532029162648585,0.10920386,0.8594380475225902
Immune cells,Apoe,0.02236418401917903,6.2310853,0.798890389147259
Immune cells,Gas6,0.004458751087939482,2.032697,0.7847978274027506
Mesencephalon GABAergic neurons,Gabrr2,0.0181516953768804,0.32739428,0.9954291326659066
Mesencephalon GABAergic neurons,Sox14,0.04313236883592216,0.42854592,0.9929193797565642
Mesencephalon GABAergic neurons,Cplx3,0.012445642499121456,0.53583914,0.9771989981333414
Mesencephalon GABAergic neurons,Cdhr1,0.033191433907308374,0.7296662,0.9765860154515221
Mesencephalon GABAergic neurons,Pax7,0.011447425941700772,0.15465416,0.9750221172968546
Mesencephalon GABAergic neurons,Chrna6,0.017796352922667673,0.2641605,0.9516452380589077
Mesencephalon GABAergic neurons,Chrnb3,0.011886570790195288,0.24553733,0.9442092464083717
Mesencephalon GABAergic neurons,Tal1,0.017506532152949124,0.34547266,0.9408412320273263
Mesencephalon GABAergic neurons,Pla2g5,0.008095320417051136,0.21400608,0.9365479548772176
Mesencephalon GABAergic neurons,Lhx5,0.008675413910854917,0.18450667,0.9260883444831485
Mesencephalon GABAergic neurons,Otx2,0.044941698042026454,0.7864301,0.922246291523888
Mesencephalon GABAergic neurons,Lmo1,0.040439216173618314,1.3519808,0.9159852266311646
Mesencephalon GABAergic neurons,Lhx1,0.009929715402508681,0.2442176,0.9116553011394682
Mesencephalon GABAergic neurons,Gata3,0.02579027275618632,0.361132,0.9041912612460908
Mesencephalon GABAergic neurons,Rpp25,0.014960878971918924,0.8516279,0.8981450313613528
Mesencephalon GABAergic neurons,Chrna3,0.006618214729462473,0.24349976,0.8909422414643424
Mesencephalon GABAergic neurons,Asic4,0.01500209929367223,0.60235214,0.8799525272278559
Mesencephalon GABAergic neurons,C1ql2,0.023457598051995317,0.70837253,0.8778589225950695
Mesencephalon GABAergic neurons,Reln,0.008933160578064005,0.6638283,0.8715022717203412
Mesencephalon GABAergic neurons,Lypd6b,0.006907237926886721,0.24671966,0.840115541503543
Mesencephalon GABAergic neurons,Lypd6,0.010567509543049875,0.56132555,0.8376423035349164
Mesencephalon GABAergic neurons,Gfra2,0.011976112065824928,0.608282,0.8281324761254447
Mesencephalon GABAergic neurons,Syt2,0.02871010864438331,0.7086592,0.8267948655855089
Mesencephalon GABAergic neurons,Kcnab3,0.012175212678507975,0.43206272,0.8254948088100978
Mesencephalon GABAergic neurons,Zmat4,0.00890641675666222,0.6539872,0.8224598055794126
Mesencephalon GABAergic neurons,Fgf11,0.007734655623280948,0.31192786,0.8208603887330919
Mesencephalon GABAergic neurons,Pdzd2,0.00858975943778744,0.58008647,0.8185854469026838
Mesencephalon GABAergic neurons,Gad1,0.027102356945974144,2.1230233,0.813477771622794
Mesencephalon GABAergic neurons,Steap2,0.020708759712482497,0.58339953,0.8111158013343811
Mesencephalon GABAergic neurons,Slc32a1,0.016140481032971644,1.2987399,0.808934592065357
Mesencephalon GABAergic neurons,Shox2,0.0063094133007851804,0.14235008,0.8074618634723482
Mesencephalon GABAergic neurons,Cacna1i,0.007034353046175196,0.32541525,0.8016847599120367
Mesencephalon GABAergic neurons,Foxp2,0.015130762866776252,0.66901356,0.7978401836894807
Mesencephalon GABAergic neurons,Pvalb,0.013392922223994734,0.6030108,0.7965267811502729
Mesencephalon GABAergic neurons,Epha10,0.010429540843889461,0.4878847,0.7955168088277181
Mesencephalon GABAergic neurons,Col25a1,0.009085351792323513,0.63075894,0.7931866220065525
Mesencephalon GABAergic neurons,Amn,0.005980007063026726,0.18285994,0.7923654743603298
Mesencephalon GABAergic neurons,Cbln4,0.006604716416175246,0.35517675,0.7920601907230559
Mesencephalon GABAergic neurons,Chrm2,0.007808415022268491,0.3000375,0.7893392046292623
Mesencephalon GABAergic neurons,Gad2,0.02452652031463096,1.9425775,0.7874525217782884
Mesencephalon GABAergic neurons,Cxcl14,0.007486331655096868,1.0408316,0.7869455530529931
Mesencephalon GABAergic neurons,Cpne9,0.006488892629761612,0.20369692,0.7858580067044213
Mesencephalon GABAergic neurons,Rgs8,0.01848536445325962,0.81144744,0.7826971269789196
Mesencephalon GABAergic neurons,Igsf3,0.015098861695481136,0.8189128,0.7816500805673146
Mesencephalon GABAergic neurons,Vstm2b,0.010241707557234971,0.70800287,0.7807349903242928
Mesencephalon GABAergic neurons,Igsf21,0.00885545949983969,0.53091884,0.7782636540276664
Mesencephalon GABAergic neurons,Vamp1,0.022918656256577994,0.5608009,0.7714279435929798
Mesencephalon GABAergic neurons,Cabp7,0.011095310359019351,0.23278734,0.7712672466323489
Mesencephalon GABAergic neurons,Nos1ap,0.007761331658721986,0.5795418,0.7700501226243519
Mesencephalon GABAergic neurons,Pcbp3,0.014771671844517343,0.90802336,0.7678174234571911
Mesencephalon cholinergic neurons,Ucn3,0.006972404040701303,0.12430812,0.9973586968013218
Mesencephalon cholinergic neurons,Slc6a3,0.018343271610090386,0.5060848,0.9837125795228141
Mesencephalon cholinergic neurons,Hcrt,0.011104013903497354,0.2427168,0.9748543898264567
Mesencephalon cholinergic neurons,Ucn,0.00943754910728533,0.21269609,0.9682357935678392
Mesencephalon cholinergic neurons,Fev,0.006203628178983358,0.21070428,0.950710498151325
Mesencephalon cholinergic neurons,Slc6a4,0.01251073870685056,0.68773526,0.9500396507126945
Mesencephalon cholinergic neurons,Tph2,0.009681201541596263,0.6089776,0.9477082717986334
Mesencephalon cholinergic neurons,En1,0.02479640574158826,0.9180858,0.9454504904292879
Mesencephalon cholinergic neurons,Sim1,0.008869159895152093,0.12336344,0.9443310272125971
Mesencephalon cholinergic neurons,Slc18a2,0.027788853095714654,1.1953412,0.9377504133042835
Mesencephalon cholinergic neurons,Otp,0.026192030466843076,0.45137396,0.9368687697819301
Mesencephalon cholinergic neurons,Pmch,0.00622426858674794,0.15299667,0.9361416697502136
