p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.33567713437417e-08	1.51713976921273	0.214	0.127	0.000373415256456986	pulmonary alveolar type 2 cell	ENSG00000247516
1.42119144284206e-08	0.932628857699699	0.261	0.162	0.000397322491675356	pulmonary alveolar type 2 cell	ENSG00000147162
1.51040526977288e-08	0.881522694214629	0.317	0.216	0.000422264001270405	pulmonary alveolar type 2 cell	ENSG00000137955
1.51385132139063e-08	3.26393528532221	0.025	0.003	0.000423227413921179	pulmonary alveolar type 2 cell	ENSG00000206557
1.56149898373341e-08	0.378454408019778	0.609	0.492	0.000436548270882349	pulmonary alveolar type 2 cell	ENSG00000125971
1.5924001145718e-08	2.45279035705874	0.04	0.008	0.000445187300030837	pulmonary alveolar type 2 cell	ENSG00000259448
1.65352901178102e-08	5.94753418368835	0.013	0	0.00046227710582362	pulmonary alveolar type 2 cell	ENSG00000188038
1.65352901178102e-08	5.55357129687012	0.013	0	0.00046227710582362	pulmonary alveolar type 2 cell	ENSG00000248318
1.79776600869284e-08	2.03672244980127	0.038	0.007	0.000502601443050258	pulmonary alveolar type 2 cell	ENSG00000130224
1.83768918509405e-08	0.283364229060671	0.116	0.048	0.000513762765476744	pulmonary alveolar type 2 cell	ENSG00000099998
1.98401754480744e-08	0.958070205400565	0.116	0.049	0.000554671785001815	pulmonary alveolar type 2 cell	ENSG00000169442
1.99448495654362e-08	0.88719224290796	0.279	0.181	0.000557598159300901	pulmonary alveolar type 2 cell	ENSG00000111676
2.02522115830779e-08	1.46450469884922	0.168	0.089	0.000566191079228109	pulmonary alveolar type 2 cell	ENSG00000141441
2.04658127184457e-08	1.30950496305052	0.134	0.063	0.000572162726169588	pulmonary alveolar type 2 cell	ENSG00000117280
2.21671031589692e-08	0.613020935547127	0.357	0.247	0.000619725703015303	pulmonary alveolar type 2 cell	ENSG00000135541
2.21992270322438e-08	0.79332357883495	0.296	0.194	0.000620623790140439	pulmonary alveolar type 2 cell	ENSG00000213015
2.22024947988859e-08	1.08234546825989	0.128	0.058	0.000620715147092452	pulmonary alveolar type 2 cell	ENSG00000174684
2.43979173451146e-08	0.737408867076771	0.389	0.282	0.000682092575217369	pulmonary alveolar type 2 cell	ENSG00000143924
