myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.937	1.66584554229905	0.874	3.51153530606197	1	0.312	myofibroblast cell	ENSG00000000971
0.936	1.93338753393788	0.872	7.31944399472841	0.875	0.015	myofibroblast cell	ENSG00000114200
0.924	2.86456627758529	0.848	5.06782805118881	0.875	0.067	myofibroblast cell	ENSG00000107796
0.922	1.61569673493592	0.844	4.56391364842289	0.875	0.091	myofibroblast cell	ENSG00000168386
0.922	2.38241067826429	0.844	3.68672638645573	1	0.553	myofibroblast cell	ENSG00000120885
0.922	1.74011226471846	0.844	4.71624008019203	0.875	0.039	myofibroblast cell	ENSG00000064205
0.92	1.57891658464516	0.84	4.31072170259356	0.875	0.065	myofibroblast cell	ENSG00000109846
0.918	1.70335607411648	0.836	4.73025940933105	0.875	0.051	myofibroblast cell	ENSG00000188783
0.909	1.91957237401661	0.818	3.81636306469136	0.875	0.185	myofibroblast cell	ENSG00000198467
0.908	1.41034583121224	0.816	3.39822389910942	0.875	0.058	myofibroblast cell	ENSG00000166482
0.907	1.3604570763972	0.814	3.6772046889044	0.875	0.124	myofibroblast cell	ENSG00000050165
0.905	0.986245031618266	0.81	1.61642241214883	1	0.193	myofibroblast cell	ENSG00000111341
0.899	1.279641602975	0.798	2.8988058981221	0.875	0.065	myofibroblast cell	ENSG00000164692
0.898	0.889871900623307	0.796	1.91370641187904	0.875	0.055	myofibroblast cell	ENSG00000139329
0.895	2.13414968315616	0.79	3.88214732913326	0.875	0.217	myofibroblast cell	ENSG00000101335
0.895	1.123439629738	0.79	3.59432083036861	0.875	0.106	myofibroblast cell	ENSG00000069702
0.89	1.96828260242799	0.78	3.43975669558496	0.875	0.294	myofibroblast cell	ENSG00000142871
0.889	1.14382706460491	0.778	1.71241464511218	1	0.927	myofibroblast cell	ENSG00000075624
0.877	0.834638592795229	0.754	2.20641126981266	0.875	0.14	myofibroblast cell	ENSG00000182326
0.876	1.42719548125616	0.752	3.2411849191203	0.875	0.259	myofibroblast cell	ENSG00000196924
0.87	0.766163607405211	0.74	2.6843118533035	0.875	0.223	myofibroblast cell	ENSG00000115520
0.869	1.85152771485293	0.738	6.25355793524224	0.75	0.014	myofibroblast cell	ENSG00000130176
0.867	1.16034725095044	0.734	2.27628009546765	0.875	0.476	myofibroblast cell	ENSG00000117519
0.864	1.37492161714352	0.728	5.59938530129344	0.75	0.03	myofibroblast cell	ENSG00000176971
0.864	1.76427536200136	0.728	5.05528657852189	0.75	0.033	myofibroblast cell	ENSG00000133392
0.858	1.12204728892937	0.716	2.49977486016526	0.875	0.297	myofibroblast cell	ENSG00000115738
0.856	1.57024356691822	0.712	4.67079368305076	0.75	0.056	myofibroblast cell	ENSG00000103196
0.853	2.84374888198551	0.706	4.79367814704871	0.75	0.105	myofibroblast cell	ENSG00000149591
0.853	1.00665032949617	0.706	4.3170208384364	0.75	0.062	myofibroblast cell	ENSG00000049323
0.852	1.41451374828772	0.704	4.44928487479367	0.75	0.11	myofibroblast cell	ENSG00000196923
0.849	1.52012101325994	0.698	4.12337158994498	0.75	0.106	myofibroblast cell	ENSG00000065534
0.848	0.860442613291714	0.696	3.66154102380785	0.75	0.088	myofibroblast cell	ENSG00000152527
0.847	1.24205700201099	0.694	3.83457646666854	0.75	0.081	myofibroblast cell	ENSG00000154553
0.846	1.62263225550055	0.692	3.85295393307145	0.75	0.107	myofibroblast cell	ENSG00000022267
0.845	1.89858606876269	0.69	4.83511348899926	0.75	0.106	myofibroblast cell	ENSG00000049540
0.844	1.12536167919539	0.688	1.85559797932872	0.875	0.323	myofibroblast cell	ENSG00000152583
0.842	1.31832802824119	0.684	3.26021760778714	0.75	0.1	myofibroblast cell	ENSG00000115414
0.84	0.876029508123939	0.68	3.35827604704859	0.75	0.121	myofibroblast cell	ENSG00000169439
0.837	1.05413720331374	0.674	3.12942600474786	0.75	0.083	myofibroblast cell	ENSG00000142156
0.836	1.32395066470682	0.672	3.20358030449029	0.75	0.08	myofibroblast cell	ENSG00000142173
