Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
378	8007	Oligodendrocytes	1.000	MOL2	0.496	Oligodendrocytes	Oligo_378
372	509	Oligodendrocytes	1.000	MOL1	0.900	Oligodendrocytes	Oligo_372
373	627	Oligodendrocytes	1.000	MOL1	0.612	Oligodendrocytes	Oligo_373
380	229	Oligodendrocytes	1.000	MFOL1	0.948	Oligodendrocytes	Oligo_380
364	736	Oligodendrocytes	1.000	MOL2	0.993	Oligodendrocytes	Oligo_364
361	2458	Oligodendrocytes	1.000	MFOL1	0.573	Oligodendrocytes	Oligo_361
365	256	Oligodendrocytes	1.000	MOL2	0.559	Oligodendrocytes	Oligo_365
388	396	Oligodendrocytes	0.960	COP1	0.957	Oligodendrocytes	Oligo_388
389	553	Oligodendrocytes	1.000	COP1	0.951	Oligodendrocytes	Oligo_389
474	499	Oligodendrocyte precursor cells	0.930	OPC	0.930	Oligodendrocyte precursor cells	OPC_474
475	231	Oligodendrocyte precursor cells	0.965	OPC	0.965	Oligodendrocyte precursor cells	OPC_475
465	289	Olfactory ensheathing cells	1.000	OEC	1.000	Olfactory ensheathing cells	OEC_465
470	270	Olfactory ensheathing cells	1.000	OEC	1.000	Olfactory ensheathing cells	OEC_470
471	1439	Olfactory ensheathing cells	0.995	OEC	0.995	Olfactory ensheathing cells	OEC_471
477	505	Non-glutamatergic neuroblasts	0.998	SZNBL	0.992	Neuroblasts	NB_477
479	264	Non-glutamatergic neuroblasts	0.670	SZNBL	0.473	Neuroblasts	NB_479
497	927	Astrocytes	0.995	ACBG	0.990	Astrocytes	Ast_Bergmann glia_497
495	571	Subventricular zone radial glia-like cells	0.832	RGSZ	0.832	Astrocytes	Ast_495
496	327	Dentate gyrus radial glia-like cells	0.807	RGDG	0.807	Astrocytes	Ast_496
482	783	Astrocytes	1.000	ACMB	0.966	Astrocytes	Ast_482
504	1001	Astrocytes	0.983	ACOB	0.936	Astrocytes	Ast_504
505	435	Astrocytes	0.995	ACOB	0.991	Astrocytes	Ast_505
498	7998	Astrocytes	0.987	ACNT1	0.666	Astrocytes	Ast_498
506	1457	Astrocytes	0.978	ACTE1	0.862	Astrocytes	Ast_506
507	4309	Astrocytes	0.971	ACTE2	0.830	Astrocytes	Ast_507
509	1284	Astrocytes	0.926	ACTE1	0.803	Astrocytes	Ast_509
431	413	Choroid epithelial cells	1.000	CHOR	1.000	Choroid plexus epithelial cells	ChorEpi_431
463	122	Subcommissural organ hypendymal cells	0.869	HYPEN	0.869	Ependymal cells	Epen_463
339	413	Ependymal cells	0.961	EPEN	0.952	Ependymal cells	Epen_339
462	270	Ependymal cells	0.989	EPEN	0.948	Ependymal cells	Epen_462
