Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
154	144	Inhibitory mesencephalon	0.882	MeInh6	0.528	Mesencephalon GABAergic neurons	MeInh_154
172	454	Inhibitory mesencephalon	0.993	MeInh5	0.352	Mesencephalon GABAergic neurons	MeInh_172
156	335	Inhibitory mesencephalon	0.991	MeInh7	0.436	Mesencephalon GABAergic neurons	MeInh_156
171	284	Inhibitory mesencephalon	0.923	MeInh7	0.577	Mesencephalon GABAergic neurons	MeInh_171
169	236	Inhibitory mesencephalon	0.979	MeInh1	0.314	Mesencephalon GABAergic neurons	MeInh_169
170	154	Inhibitory mesencephalon	1.000	MeInh7	0.312	Mesencephalon GABAergic neurons	MeInh_170
147	306	Spinal cord/Rhombencephalon neurons	0.778	ReInh6	0.366	Rhombencephalon GABAergic neurons	ReInh_Medulla_147
178	434	Excitatory telencephalon	0.382	TeExc2	0.311	Mixture	Mixture_178
149	266	Inhibitory telencephalon	0.974	TeInh5	0.402	Telencephalon GABAergic neurons	TeInh_MGE_149
150	260	Inhibitory telencephalon	0.900	TeInh3	0.208	Telencephalon GABAergic neurons	TeInh_MGE_150
151	580	Inhibitory telencephalon	0.553	TeInh4	0.107	Telencephalon GABAergic neurons	TeInh_MGE_151
155	347	Inhibitory mesencephalon	0.435	MeInh8	0.231	Mesencephalon GABAergic neurons	MeInh_155
283	1172	Inhibitory mesencephalon	0.438	MeNeb1	0.062	Mixture	Mixture_283
142	188	Peptidergic	0.559	DePep1	0.489	Peptidergic neurons	DePep_142
163	121	Excitatory dien-/mesencephalon	0.719	DeExc5	0.661	Diencephalon glutamatergic neurons	DeExc_Thalamus_163
141	477	Excitatory dien-/mesencephalon	0.918	MeExc5	0.304	Mesencephalon glutamatergic neurons	MeExc_Optic Tectum_141
165	426	Inhibitory mesencephalon	0.458	MeExc1	0.312	Mesencephalon glutamatergic neurons	MeExc_165
164	196	Inhibitory mesencephalon	0.740	DeNeb5	0.372	Mesencephalon glutamatergic neurons	MeExc_164
158	241	Excitatory dien-/mesencephalon	0.788	MeExc6	0.261	Mesencephalon glutamatergic neurons	MeExc_158
166	622	Excitatory dien-/mesencephalon	0.701	MeExc6	0.211	Mesencephalon glutamatergic neurons	MeExc_166
136	130	Excitatory telencephalon	1.000	TeExc7	0.385	Telencephalon glutamatergic neurons	TeExc_136
134	442	Excitatory telencephalon	0.971	TeExc7	0.760	Telencephalon glutamatergic neurons	TeExc_134
135	253	Excitatory telencephalon	1.000	TeExc5	0.506	Telencephalon glutamatergic neurons	TeExc_135
145	235	Excitatory telencephalon	0.957	TeExc3	0.715	Telencephalon glutamatergic neurons	TeExc_145
132	389	Excitatory telencephalon	0.995	TeExc4	0.841	Telencephalon glutamatergic neurons	TeExc_132
146	223	Excitatory telencephalon	0.834	TeExc4	0.287	Telencephalon glutamatergic neurons	TeExc_146
290	728	Excitatory telencephalon	0.349	DeChol3	0.154	Mixture	Mixture_290
281	210	Monoaminergic	0.643	DeNeb1	0.362	Dopaminergic neurons	DeDopa_281
176	207	Monoaminergic	0.937	DeMono1	0.353	Dopaminergic neurons	DeDopa_176
175	440	Monoaminergic	0.750	MeDopa1	0.275	Dopaminergic neurons	MeDopa_175
177	231	Monoaminergic	0.935	DeMono3	0.381	Dopaminergic neurons	DeDopa_177
182	154	Peptidergic	0.734	DePep4	0.312	Diencephalon GABAergic neurons	DeInh_182
181	226	Peptidergic	0.681	DePep4	0.164	Diencephalon GABAergic neurons	DeInh_181
185	238	Peptidergic	0.971	DePep4	0.286	Diencephalon GABAergic neurons	DeInh_185
187	199	Peptidergic	0.638	DePep6	0.216	Diencephalon GABAergic neurons	DeInh_187
180	249	Peptidergic	0.823	DePep2	0.253	Peptidergic neurons	DePep_180
186	262	Peptidergic	0.828	DePep8	0.256	Peptidergic neurons	DePep_186
197	113	Choroid plexus epithelium	1.000	Chor3	0.752	Choroid plexus epithelial cells	ChorEpi_197
214	222	Choroid plexus epithelium	0.851	Chor4	0.671	Choroid plexus epithelial cells	ChorEpi_214
215	318	Choroid plexus epithelium	0.928	Chor1	0.613	Choroid plexus epithelial cells	ChorEpi_215
308	569	Astrocytes	1.000	MRAstro1	0.974	Astrocytes	Ast_308
309	333	Astrocytes	0.937	MRAstro1	0.883	Astrocytes	Ast_309
216	208	Ependymal	0.990	DePigm1	0.683	Ependymal cells	Epen_216
217	118	Ependymal	0.983	DePigm2	0.975	Ependymal cells	Epen_217
222	336	Ependymal	0.997	DeHypen1	0.991	Ependymal cells	Epen_222
219	577	Ependymal	1.000	DeHypen1	1.000	Ependymal cells	Epen_219
