p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.46601074118405e-137	5.07828746641735	0.343	0.016	1.27251091386502e-132	Astrocytes	ENSG00000067177
2.63527373467794e-136	3.73762835484487	0.609	0.096	5.18621870984618e-132	Astrocytes	ENSG00000153930
2.72152917824795e-136	3.44922942117623	0.986	0.63	5.35596942279196e-132	Astrocytes	ENSG00000150625
1.25990852118266e-134	6.09359679667528	0.284	0.007	2.47949996968747e-130	Astrocytes	ENSG00000152137
1.61621559504142e-134	2.93427517329048	0.862	0.256	3.18071229104151e-130	Astrocytes	ENSG00000116117
2.52301921367326e-134	4.18271435768708	0.467	0.046	4.96530181250898e-130	Astrocytes	ENSG00000113916
7.01620737264714e-134	0.897644007940598	0.862	0.161	1.38078961093696e-129	Astrocytes	ENSG00000110693
1.15782441175894e-133	4.05024245412506	0.415	0.032	2.2785984423416e-129	Astrocytes	ENSG00000138685
1.29850727210809e-133	2.86305138648274	0.55	0.068	2.55546231150873e-129	Astrocytes	ENSG00000185650
1.63227251570992e-133	2.85681867118581	0.509	0.054	3.21231231091711e-129	Astrocytes	ENSG00000116132
1.53581957536409e-132	2.86991365884024	0.941	0.451	3.02249292431653e-128	Astrocytes	ENSG00000104447
1.70909106819396e-131	2.64505718897929	0.965	0.412	3.36349122220572e-127	Astrocytes	ENSG00000134532
2.8825327107783e-130	3.47156777524914	0.585	0.086	5.6728243748117e-126	Astrocytes	ENSG00000146648
6.8891301338419e-130	3.92600365435455	0.564	0.083	1.35578081034009e-125	Astrocytes	ENSG00000171444
9.79494059488287e-129	2.21662453415337	1	0.895	1.92764430907295e-124	Astrocytes	ENSG00000185565
9.88577192892586e-129	2.90392337439174	0.952	0.517	1.94551991561261e-124	Astrocytes	ENSG00000078114
1.76317710607979e-128	2.96835122825971	0.834	0.24	3.46993254476504e-124	Astrocytes	ENSG00000113594
2.04076303028427e-128	4.99147311510188	0.374	0.026	4.01622164359944e-124	Astrocytes	ENSG00000147509
2.36741359941602e-128	3.68880599847944	0.273	0.007	4.65906996365074e-124	Astrocytes	ENSG00000148482
4.06181153250966e-128	4.07215149238375	0.384	0.028	7.99364509597901e-124	Astrocytes	ENSG00000092969
