myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.81	1.60473037843559	0.62	2.53625746716797	0.851	0.499	Astrocytes	ENSG00000163288
0.81	1.68893765442943	0.62	3.34420462978734	0.727	0.242	Astrocytes	ENSG00000116641
0.809	3.43714158289813	0.618	8.15840419120147	0.63	0.025	Astrocytes	ENSG00000131095
0.808	1.23161657482014	0.616	2.01624215100524	0.862	0.48	Astrocytes	ENSG00000071242
0.807	1.76345525206072	0.614	3.70538380121424	0.692	0.108	Astrocytes	ENSG00000165795
0.805	1.55744777287535	0.61	3.29892721668047	0.696	0.125	Astrocytes	ENSG00000105854
0.803	1.15963264038524	0.606	1.83520409407939	0.889	0.473	Astrocytes	ENSG00000147862
0.803	1.78665091192287	0.606	3.65438212865266	0.706	0.203	Astrocytes	ENSG00000136002
0.801	1.78788686587413	0.602	4.37269057067646	0.651	0.089	Astrocytes	ENSG00000129244
0.799	1.07701632247076	0.598	1.64327066333954	0.893	0.426	Astrocytes	ENSG00000184384
0.799	1.69299402115975	0.598	3.65415667689559	0.654	0.071	Astrocytes	ENSG00000135838
0.797	1.33822432514389	0.594	2.31898408924552	0.754	0.256	Astrocytes	ENSG00000079482
0.797	2.03475529336983	0.594	7.04148785924746	0.602	0.012	Astrocytes	ENSG00000136160
0.794	2.3551847160749	0.588	6.78925829597282	0.602	0.024	Astrocytes	ENSG00000080573
0.789	2.01131473970131	0.578	6.28386955793515	0.585	0.012	Astrocytes	ENSG00000164188
0.789	1.89396137176437	0.578	7.10589446872495	0.585	0.011	Astrocytes	ENSG00000182175
0.787	1.62828670769897	0.574	3.69104453573539	0.637	0.094	Astrocytes	ENSG00000119900
0.787	1.33242716601474	0.574	2.60314219138823	0.727	0.246	Astrocytes	ENSG00000174306
0.787	1.89512388681433	0.574	3.44159252794528	0.706	0.201	Astrocytes	ENSG00000087250
0.786	1.33974592086113	0.572	2.52444806197434	0.709	0.174	Astrocytes	ENSG00000148737
0.782	1.46200779763241	0.564	2.79533183633553	0.713	0.284	Astrocytes	ENSG00000111666
0.781	0.887332411717381	0.562	1.32076430899012	0.979	0.932	Astrocytes	ENSG00000151914
0.78	1.37462816058881	0.56	2.85449708817483	0.657	0.119	Astrocytes	ENSG00000163110
0.78	1.36181208737814	0.56	2.59036521710908	0.727	0.258	Astrocytes	ENSG00000152767
0.777	1.45920176616134	0.554	3.46860933954353	0.623	0.093	Astrocytes	ENSG00000132613
0.776	1.39241581098459	0.552	2.88631310760002	0.661	0.137	Astrocytes	ENSG00000099139
0.776	1.65747013376225	0.552	3.8617760699738	0.616	0.094	Astrocytes	ENSG00000138771
0.775	1.56867898438988	0.55	3.55865011864315	0.619	0.089	Astrocytes	ENSG00000165029
0.775	1.35245914022305	0.55	2.41833569882626	0.734	0.258	Astrocytes	ENSG00000058866
0.775	1.61660231882724	0.55	3.50458913623481	0.637	0.127	Astrocytes	ENSG00000141639
0.774	0.951188509345447	0.548	1.42544530389694	0.952	0.775	Astrocytes	ENSG00000186153
0.773	1.19987184982899	0.546	1.85609593299948	0.886	0.696	Astrocytes	ENSG00000166833
0.772	1.08331313701468	0.544	1.73444069011282	0.858	0.722	Astrocytes	ENSG00000128585
0.772	1.65726805873409	0.544	3.73762835484487	0.609	0.096	Astrocytes	ENSG00000153930
0.772	1.03580888075612	0.544	1.7677163249581	0.81	0.441	Astrocytes	ENSG00000148700
0.77	1.90453450473117	0.54	4.88754208221193	0.574	0.055	Astrocytes	ENSG00000111907
0.77	1.49324233468221	0.54	2.94983502780217	0.654	0.141	Astrocytes	ENSG00000143772
0.77	1.52285324656012	0.54	3.18906324439284	0.647	0.179	Astrocytes	ENSG00000153904
0.767	1.47718176266879	0.534	2.91048527618275	0.654	0.177	Astrocytes	ENSG00000134376
0.766	1.28586037951889	0.532	2.26348011076835	0.713	0.233	Astrocytes	ENSG00000171408
0.766	3.92632629759528	0.532	6.9068077089136	0.585	0.117	Astrocytes	ENSG00000164199
0.766	1.38331724228627	0.532	3.22712249831886	0.588	0.052	Astrocytes	ENSG00000103740
0.765	0.670464391935579	0.53	0.976417608108583	1	0.872	Astrocytes	ENSG00000168702
0.763	1.47977040135034	0.526	3.22276335914425	0.612	0.118	Astrocytes	ENSG00000135919
0.763	1.5475624459737	0.526	3.46063753987175	0.616	0.155	Astrocytes	ENSG00000108231
0.762	0.795557906260185	0.524	1.25615214470721	0.907	0.808	Astrocytes	ENSG00000100201
0.762	1.34987720592918	0.524	2.25036481013804	0.782	0.477	Astrocytes	ENSG00000166165
0.761	1.26523076161898	0.522	2.25439643350082	0.727	0.368	Astrocytes	ENSG00000158467
