p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.40849355579426e-07	2.74989153702567	0.5	0.094	0.00413875532627685	Photoreceptor cells	MSTRG.6479
2.82776852093562e-07	1.84521761222698	0.786	0.232	0.00485923742637577	Photoreceptor cells	MSTRG.519
2.88419821273017e-07	4.13477832394329	0.143	0.009	0.00495620620875552	Photoreceptor cells	MSTRG.13609
3.47568910591408e-07	2.61072489539694	0.286	0.033	0.00597262415960275	Photoreceptor cells	MSTRG.1752
3.59967565143876e-07	2.78351431255423	0.929	0.551	0.00618568263943237	Photoreceptor cells	MSTRG.5671
3.70135404604461e-07	3.92229315610636	0.214	0.02	0.00636040679272306	Photoreceptor cells	MSTRG.12100
4.00697854567871e-07	0.841743556619872	0.357	0.05	0.0068855919328943	Photoreceptor cells	MSTRG.2096
4.11005324596676e-07	1.51096622080722	1	0.871	0.00706271549786928	Photoreceptor cells	MSTRG.14496
4.11006556825962e-07	1.60315107365009	0.643	0.143	0.00706273667249734	Photoreceptor cells	MSTRG.12868
4.85374878264004e-07	2.59685364771273	0.929	0.49	0.00834068190808865	Photoreceptor cells	MSTRG.11972
5.1205071893071e-07	2.48135488795281	0.571	0.134	0.00879907955410532	Photoreceptor cells	MSTRG.4913
5.43849684146784e-07	6.99604799359709	0.071	0.002	0.00934551297237834	Photoreceptor cells	MSTRG.7067
9.18089214257547e-175	9.98243571290352	0.562	0.003	1.57764450578017e-170	Rhombencephalon GABAergic neurons	MSTRG.1871
1.84658519671929e-91	7.1831463116551	0.438	0.005	3.17317200204244e-87	Rhombencephalon GABAergic neurons	MSTRG.1874
1.81593288084968e-82	7.97125437133063	0.25	0.001	3.12049906245209e-78	Rhombencephalon GABAergic neurons	MSTRG.5754
2.26318602206784e-64	6.58806388468357	0.375	0.006	3.88905886032138e-60	Rhombencephalon GABAergic neurons	MSTRG.16163
2.67395114061404e-62	8.0762013458041	0.188	0.001	4.59491764003116e-58	Rhombencephalon GABAergic neurons	MSTRG.7978
2.64155431700494e-60	12.5798153489742	0.25	0.002	4.53924693834128e-56	Rhombencephalon GABAergic neurons	MSTRG.4892
1.96618722524899e-42	9.00357917625171	0.062	0	3.37869612786786e-38	Rhombencephalon GABAergic neurons	MSTRG.25408
5.72938214961299e-41	5.366759661724	0.5	0.019	9.84537028589496e-37	Rhombencephalon GABAergic neurons	MSTRG.1877
1.45223319699281e-40	5.68830175780312	0.438	0.014	2.49551752571245e-36	Rhombencephalon GABAergic neurons	MSTRG.10682
1.88489217742612e-40	4.34948965807059	0.375	0.01	3.23899871768905e-36	Rhombencephalon GABAergic neurons	MSTRG.5979
6.90560585329605e-34	7.49697427222651	0.125	0.001	1.18665930983039e-29	Rhombencephalon GABAergic neurons	MSTRG.2878
1.95751577318048e-33	7.7013026092593	0.25	0.005	3.36379510463334e-29	Rhombencephalon GABAergic neurons	MSTRG.4895
5.44365224789854e-26	5.05453294394356	0.438	0.024	9.35437202278885e-22	Rhombencephalon GABAergic neurons	MSTRG.8253
1.96408925494172e-25	5.02045410836776	0.688	0.065	3.37509097569185e-21	Rhombencephalon GABAergic neurons	MSTRG.11679
8.23333343504987e-25	4.40784621257572	0.562	0.041	1.41481601747897e-20	Rhombencephalon GABAergic neurons	MSTRG.11678
2.66772002054059e-23	3.53325713355434	0.625	0.054	4.58421008329696e-19	Rhombencephalon GABAergic neurons	MSTRG.5107
3.82188139745612e-21	5.12598541805788	0.188	0.005	6.56752099338859e-17	Rhombencephalon GABAergic neurons	MSTRG.9133
6.09506639272969e-21	4.54987765546971	0.312	0.015	1.04737620892667e-16	Rhombencephalon GABAergic neurons	MSTRG.11808
7.36166899191707e-21	3.64186996706309	0.438	0.029	1.26502919957103e-16	Rhombencephalon GABAergic neurons	MSTRG.1834
3.36384707492118e-19	5.98644240436727	0.125	0.002	5.78043481354456e-15	Rhombencephalon GABAergic neurons	MSTRG.11897
1.75850708821779e-18	4.40016691568122	0.25	0.011	3.02181858039344e-14	Rhombencephalon GABAergic neurons	MSTRG.2672
1.85820237411643e-18	5.76615946782561	0.75	0.099	3.19313495968167e-14	Rhombencephalon GABAergic neurons	MSTRG.5846
1.98117654551835e-18	4.52539406489398	0.312	0.017	3.40445377581874e-14	Rhombencephalon GABAergic neurons	MSTRG.7811
8.71598596665832e-18	2.45530461883758	0.688	0.081	1.49775502851057e-13	Rhombencephalon GABAergic neurons	MSTRG.17402
4.78460507721739e-17	4.27064982787244	0.312	0.018	8.22186536469036e-13	Rhombencephalon GABAergic neurons	MSTRG.13735
9.89861268868715e-17	3.18965938967444	0.562	0.06	1.700977604424e-12	Rhombencephalon GABAergic neurons	MSTRG.9441
4.96793573305251e-16	1.8955689809805	1	0.182	8.53690076367743e-12	Rhombencephalon GABAergic neurons	MSTRG.10842
5.71269565667125e-16	3.35525018765559	0.312	0.019	9.81669621642387e-12	Rhombencephalon GABAergic neurons	MSTRG.1878
6.83744693902715e-16	6.30972670770133	0.125	0.003	1.17494688200243e-11	Rhombencephalon GABAergic neurons	MSTRG.436
3.03351007615255e-15	3.26326466236176	0.188	0.007	5.21278371486054e-11	Rhombencephalon GABAergic neurons	MSTRG.6287
3.41103184682205e-15	3.66504707496242	0.375	0.03	5.86151712557901e-11	Rhombencephalon GABAergic neurons	MSTRG.8513
3.47910171736585e-15	2.08925593994542	0.938	0.171	5.97848839112148e-11	Rhombencephalon GABAergic neurons	MSTRG.4128
3.8954948200293e-15	2.21243626230284	1	0.201	6.69401829873835e-11	Rhombencephalon GABAergic neurons	MSTRG.13267
5.93718804557494e-15	7.23371536583097	0.062	0.001	1.0202463937516e-10	Rhombencephalon GABAergic neurons	MSTRG.8109
3.62528076257081e-14	2.57545347809543	1	0.238	6.22968246240167e-10	Rhombencephalon GABAergic neurons	MSTRG.15050
4.34455052631498e-14	2.42407363827959	0.875	0.171	7.46567562441966e-10	Rhombencephalon GABAergic neurons	MSTRG.2543
7.91851812613395e-14	6.42836875146111	0.188	0.008	1.36071815479486e-09	Rhombencephalon GABAergic neurons	MSTRG.23085
1.44565240859041e-13	2.95781472136996	0.875	0.187	2.48420909892175e-09	Rhombencephalon GABAergic neurons	MSTRG.6552
1.75662750095295e-13	2.24946740281118	0.938	0.223	3.01858869763754e-09	Rhombencephalon GABAergic neurons	MSTRG.6861
1.84708838562227e-13	2.269315611846	0.938	0.201	3.17403668185331e-09	Rhombencephalon GABAergic neurons	MSTRG.3288
2.15840353671625e-13	2.43759479602209	0.875	0.181	3.70900063749321e-09	Rhombencephalon GABAergic neurons	MSTRG.10634
2.72323796826742e-13	2.35680398384252	0.938	0.238	4.67961212467073e-09	Rhombencephalon GABAergic neurons	MSTRG.1698
4.2623035274459e-13	2.76083103009335	0.938	0.237	7.32434238156303e-09	Rhombencephalon GABAergic neurons	MSTRG.14866
4.62017899695797e-13	3.09635181953071	1	0.336	7.93931558837257e-09	Rhombencephalon GABAergic neurons	MSTRG.21584
4.8596920769207e-13	2.33829877485733	0.625	0.09	8.35089486498053e-09	Rhombencephalon GABAergic neurons	MSTRG.11691
6.81523746445659e-13	3.17003576457339	0.938	0.25	1.17113040589222e-08	Rhombencephalon GABAergic neurons	MSTRG.5625
8.66731495490821e-13	2.6350842304017	1	0.283	1.48939140185143e-08	Rhombencephalon GABAergic neurons	MSTRG.4477
9.05822623934814e-13	2.21776221205016	0.938	0.206	1.55656559696958e-08	Rhombencephalon GABAergic neurons	MSTRG.15440
1.08797555802875e-12	3.65165110100175	0.375	0.037	1.8695771989166e-08	Rhombencephalon GABAergic neurons	MSTRG.4501
1.10005763068459e-12	2.69628612438335	0.938	0.242	1.8903390325684e-08	Rhombencephalon GABAergic neurons	MSTRG.19101
1.50453298691301e-12	4.45384323746259	0.125	0.004	2.58538948471131e-08	Rhombencephalon GABAergic neurons	MSTRG.20941
1.88771462844963e-12	2.42507770037411	1	0.298	3.24384881752785e-08	Rhombencephalon GABAergic neurons	MSTRG.12727
2.01162507547553e-12	2.08646718301329	1	0.248	3.45677652969715e-08	Rhombencephalon GABAergic neurons	MSTRG.7945
2.18195231421184e-12	2.22408037872086	0.688	0.109	3.74946685674162e-08	Rhombencephalon GABAergic neurons	MSTRG.1133
2.85609533017061e-12	2.43216824501149	0.688	0.121	4.90791421536518e-08	Rhombencephalon GABAergic neurons	MSTRG.2951
3.18982214665172e-12	2.41968675224132	0.625	0.098	5.48139037680632e-08	Rhombencephalon GABAergic neurons	MSTRG.19871
4.75589295171978e-12	2.09232262307636	0.938	0.226	8.17252644823527e-08	Rhombencephalon GABAergic neurons	MSTRG.10618
5.42014326624066e-12	2.29531691982506	1	0.341	9.31397418870795e-08	Rhombencephalon GABAergic neurons	MSTRG.4945
5.50706353043642e-12	2.14877747441327	1	0.319	9.46333797070194e-08	Rhombencephalon GABAergic neurons	MSTRG.12300
6.36234055236055e-12	2.12527380273245	0.875	0.198	1.09330460051764e-07	Rhombencephalon GABAergic neurons	MSTRG.11413
