myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.895	2.00987506842603	0.79	3.22159580097301	0.9	0.328	Choroid plexus epithelial cells	MSTRG.13544
0.895	1.4352513376704	0.79	2.67929965110032	0.9	0.348	Choroid plexus epithelial cells	MSTRG.4858
0.894	1.39127564403354	0.788	3.01118825797948	0.9	0.153	Choroid plexus epithelial cells	MSTRG.11990
0.894	2.96166289455066	0.788	5.66619555361937	0.825	0.104	Choroid plexus epithelial cells	MSTRG.5101
0.894	1.13282917313821	0.788	2.20605668871004	0.925	0.305	Choroid plexus epithelial cells	MSTRG.2498
0.886	1.38603893070146	0.772	2.57768839360646	0.925	0.277	Choroid plexus epithelial cells	MSTRG.141
0.885	2.07142485016949	0.77	7.58595409325067	0.775	0.01	Choroid plexus epithelial cells	MSTRG.5920
0.884	1.39181946153043	0.768	2.38793651574752	0.95	0.343	Choroid plexus epithelial cells	MSTRG.11645
0.874	1.43091302013515	0.748	2.5251041720499	0.9	0.265	Choroid plexus epithelial cells	MSTRG.14761
0.874	2.45987757508236	0.748	5.22696151258129	0.775	0.08	Choroid plexus epithelial cells	MSTRG.9774
0.873	1.04345558863893	0.746	1.61806256418561	0.975	0.588	Choroid plexus epithelial cells	MSTRG.8721
0.873	2.01619692363795	0.746	3.47964127066366	0.8	0.09	Choroid plexus epithelial cells	MSTRG.6607
0.868	1.17145218503637	0.736	1.93208076756248	1	0.549	Choroid plexus epithelial cells	MSTRG.17135
0.868	1.45487200881768	0.736	2.78918550056521	0.875	0.223	Choroid plexus epithelial cells	MSTRG.17038
0.867	1.5544876854135	0.734	3.24480934171579	0.825	0.188	Choroid plexus epithelial cells	MSTRG.18104
0.866	1.42248847720774	0.732	4.05616768065298	0.775	0.068	Choroid plexus epithelial cells	MSTRG.15102
0.866	1.59509700478075	0.732	5.30185060191177	0.75	0.022	Choroid plexus epithelial cells	MSTRG.5295
0.866	1.4531792509268	0.732	3.1957567698873	0.825	0.15	Choroid plexus epithelial cells	MSTRG.4844
0.865	1.42907019288954	0.73	2.33777521660455	0.825	0.092	Choroid plexus epithelial cells	MSTRG.9505
0.865	1.06015768337854	0.73	1.75520386371062	0.975	0.502	Choroid plexus epithelial cells	MSTRG.5256
0.865	1.31237160289067	0.73	3.12530980590285	0.8	0.103	Choroid plexus epithelial cells	MSTRG.5226
0.861	1.66213309537398	0.722	3.07823758514398	0.825	0.242	Choroid plexus epithelial cells	MSTRG.15322
0.858	1.74710251671126	0.716	4.62127903408563	0.75	0.046	Choroid plexus epithelial cells	MSTRG.1734
